op,src_dtype,dst_dtype,shape_path,vf_impl_kind,tail_kind,op_params,formula_kind,param0,param1,param2,param3
TSQRT,fp32,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.8548854,2.5442386,61.598247,0
TSQRT,fp32,none,2D,POST_UPDATE,full,,nested_loop,1.8548854,2.5442386,61.598247,0
TSQRT,fp32,none,2D,POST_UPDATE,tail,,nested_loop,1.8548854,2.5442386,61.598247,0
TSUB,fp16,none,1D,NO_POST_UPDATE,full,,linear,1.2469671,55.073657,0,0
TSUB,fp16,none,1D,NO_POST_UPDATE,tail,,linear,1.2469671,55.073657,0,0
TSUB,fp16,none,1D,POST_UPDATE,full,,linear,1.2469671,55.073657,0,0
TSUB,fp16,none,1D,POST_UPDATE,tail,,linear,1.2469671,55.073657,0,0
TSUB,fp16,none,2D,NO_POST_UPDATE,full,,nested_loop,1.8749443,2.8762808,44.344619,0
TSUB,fp16,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.8749443,2.8762808,44.344619,0
TSUB,fp16,none,2D,POST_UPDATE,full,,nested_loop,1.8749443,2.8762808,44.344619,0
TSUB,fp16,none,2D,POST_UPDATE,tail,,nested_loop,1.8749443,2.8762808,44.344619,0
TSUB,fp32,none,1D,NO_POST_UPDATE,full,,linear,1.2469671,55.073657,0,0
TSUB,fp32,none,1D,NO_POST_UPDATE,tail,,linear,1.2469671,55.073657,0,0
TSUB,fp32,none,1D,POST_UPDATE,full,,linear,1.2469671,55.073657,0,0
TSUB,fp32,none,1D,POST_UPDATE,tail,,linear,1.2469671,55.073657,0,0
TSUB,fp32,none,2D,NO_POST_UPDATE,full,,nested_loop,1.8749443,2.8762808,44.344619,0
TSUB,fp32,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.8749443,2.8762808,44.344619,0
TSUB,fp32,none,2D,POST_UPDATE,full,,nested_loop,1.8749443,2.8762808,44.344619,0
TSUB,fp32,none,2D,POST_UPDATE,tail,,nested_loop,1.8749443,2.8762808,44.344619,0
TCVT,bf16,fp16,1D,NO_POST_UPDATE,full,CAST_RINT_SAT_ON_normal,linear,1.2131148,53.196721,0,0
TCVT,bf16,fp16,1D,NO_POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,linear,1.2131148,53.196721,0,0
TCVT,bf16,fp16,2D,POST_UPDATE,full,CAST_RINT_SAT_ON_normal,nested_loop,1.279308,1.8333786,51.80597,0
TCVT,bf16,fp16,2D,POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,nested_loop,1.279308,1.8333786,51.80597,0
TCVT,bf16,fp32,1D,NO_POST_UPDATE,full,CAST_RINT_SAT_ON_normal,linear,-1.7704918,82.442623,0,0
TCVT,bf16,fp32,1D,NO_POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,linear,-1.7704918,82.442623,0,0
TCVT,bf16,fp32,2D,POST_UPDATE,full,CAST_RINT_SAT_ON_normal,nested_loop,1.2703528,1.929896,51.661692,0
TCVT,bf16,fp32,2D,POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,nested_loop,1.2703528,1.929896,51.661692,0
TCVT,fp16,fp32,1D,NO_POST_UPDATE,full,CAST_RINT_SAT_ON_normal,linear,-1.7704918,82.442623,0,0
TCVT,fp16,fp32,1D,NO_POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,linear,-1.7704918,82.442623,0,0
TCVT,fp16,fp32,2D,POST_UPDATE,full,CAST_RINT_SAT_ON_normal,nested_loop,1.2703528,1.929896,51.661692,0
TCVT,fp16,fp32,2D,POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,nested_loop,1.2703528,1.929896,51.661692,0
TCVT,fp32,bf16,1D,NO_POST_UPDATE,full,CAST_RINT_SAT_ON_normal,linear,1.3196721,52.295082,0,0
TCVT,fp32,bf16,1D,NO_POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,linear,1.3196721,52.295082,0,0
TCVT,fp32,bf16,2D,POST_UPDATE,full,CAST_RINT_SAT_ON_normal,nested_loop,2.2580054,1.0422433,55.18408,0
TCVT,fp32,bf16,2D,POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,nested_loop,2.2580054,1.0422433,55.18408,0
